gauge_id,station_type,daily_flow_period_start,daily_flow_period_end,daily_flow_perc_complete,hourly_flow_period_start,hourly_flow_period_end,hourly_flow_perc_complete,bankfull_flow,structurefull_flow,max_gauging_flow_date,max_gauging_flow,max_daily_flow,daily_flow_extrap_dur,max_hourly_flow,hourly_flow_extrap_dur,q5_uncert_upper,q5_uncert_lower,q25_uncert_upper,q25_uncert_lower,q50_uncert_upper,q50_uncert_lower,q75_uncert_upper,q75_uncert_lower,q95_uncert_upper,q95_uncert_lower,q99_uncert_upper,q99_uncert_lower,quncert_meta
22001,FVVA,1970-10-01,2022-09-30,99.38,1990-10-01 09:00:00,2022-10-01 08:00:00,98.92,175.00,6.00,05-Jan-2016 15:32:00,189.69,394.00,0.04,519.50,0.08,26.68,-27.64,15.00,-15.11,12.49,-12.21,8.57,-8.39,10.77,-10.95,7.45,-7.23,Calculated discharge uncertainties
22006,FVVA,1970-10-01,2022-09-30,99.99,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,190.00,36.00,14-May-1993 09:00:00,92.18,138.00,0.02,223.85,0.03,32.00,-31.44,29.82,-29.15,16.99,-16.14,10.42,-10.78,10.47,-10.47,11.20,-11.26,Calculated discharge uncertainties
22007,MIS,1970-10-01,2022-09-30,99.97,1990-10-01 09:00:00,2022-10-01 08:00:00,99.87,NaN,35.00,01-Apr-1992 09:04:00,183.00,225.00,0.02,329.69,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No stage-discharge measurements available
22009,VA,1972-06-01,2022-09-30,96.78,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,223.00,NaN,06-Sep-2008 12:13:00,298.19,284.00,0.00,411.34,0.00,21.29,-20.99,17.85,-17.57,9.98,-10.11,12.36,-12.26,13.62,-13.91,11.50,-11.36,Calculated discharge uncertainties
23001,VA,1970-10-02,2022-09-30,99.77,1990-10-01 09:00:00,2022-10-01 08:00:00,98.52,1471.00,NaN,05-Dec-2015 14:11:00,1267.05,1450.00,0.01,1721.63,0.01,24.36,-24.33,15.84,-15.41,13.87,-13.79,11.77,-11.82,12.82,-12.34,12.28,-12.12,Calculated discharge uncertainties
23004,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,99.75,NaN,3.00,06-Jan-1988 09:01:00,496.23,693.00,0.01,924.25,0.04,21.91,-21.33,20.53,-18.82,15.57,-14.37,8.46,-8.86,10.31,-10.25,14.89,-15.61,Calculated discharge uncertainties
23006,CC,1970-10-01,2022-09-30,99.37,1990-10-01 09:00:00,2022-10-01 08:00:00,99.45,NaN,500.00,21-Nov-1972 09:02:00,222.28,280.00,0.01,493.89,0.07,17.91,-18.01,18.90,-18.82,22.81,-23.24,11.52,-11.40,9.83,-9.99,11.38,-12.59,Calculated discharge uncertainties
23007,CC,1970-10-01,2022-09-30,99.38,1990-10-01 09:00:00,2022-10-01 08:00:00,99.65,NaN,NaN,05-Nov-2019 13:48:44,25.31,122.00,0.39,174.14,0.54,31.98,-30.67,16.89,-16.31,18.22,-18.89,19.10,-18.50,13.71,-13.20,NaN,NaN,Calculated discharge uncertainties
23008,FVVA,1970-10-01,2022-09-30,99.12,1990-10-01 09:00:00,2022-10-01 08:00:00,99.62,NaN,27.00,06-Sep-2008 08:55:00,210.00,218.00,0.01,279.74,0.02,29.36,-29.32,18.58,-18.61,15.45,-15.35,14.01,-13.94,9.20,-9.27,11.60,-11.59,Calculated discharge uncertainties
23011,FVVA,1970-10-01,2022-09-30,97.95,1990-10-01 09:00:00,2022-10-01 08:00:00,99.97,46.00,9.10,10-Jul-2008 15:14:00,76.80,53.50,0.00,106.58,0.01,65.05,-65.23,38.87,-38.75,29.47,-29.40,26.01,-25.93,16.47,-16.45,17.20,-16.95,Calculated discharge uncertainties
23016,TP B,1990-01-01,2022-09-30,62.73,1990-10-01 09:00:00,2022-10-01 08:00:00,99.38,NaN,4.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No stage-discharge measurements available
24001,CB,1970-10-01,2022-09-30,98.97,1990-10-01 09:00:00,2022-10-01 08:00:00,99.29,613.00,NaN,04-Jun-2000 11:10:00,375.19,317.00,0.00,407.62,0.00,19.93,-19.69,16.50,-16.08,12.41,-12.25,14.30,-14.05,13.79,-12.85,8.79,-8.74,Calculated discharge uncertainties
24003,CC,1970-10-01,2022-09-30,98.70,1990-10-01 09:00:00,2022-10-01 08:00:00,98.62,NaN,180.00,03-Feb-1981 00:03:00,70.65,139.00,0.07,243.41,0.25,23.21,-23.02,15.81,-15.69,13.58,-13.50,17.81,-16.33,7.23,-7.28,9.93,-9.68,Calculated discharge uncertainties
24004,CC,1970-10-01,2022-09-30,99.66,1990-10-01 09:00:00,2022-10-01 08:00:00,99.90,NaN,70.00,23-Oct-2013 11:24:01,17.47,34.30,0.12,76.35,0.24,20.95,-20.06,16.84,-15.99,12.41,-12.35,12.29,-11.87,13.85,-13.34,15.31,-12.26,Calculated discharge uncertainties
24005,CB,1970-10-01,2022-09-30,99.52,1990-10-01 09:00:00,2022-10-01 08:00:00,99.95,NaN,60.00,26-Nov-2012 14:51:00,66.00,67.10,0.01,94.15,0.02,23.99,-22.49,17.75,-17.28,19.55,-19.88,12.91,-13.58,16.90,-16.81,12.83,-12.36,Calculated discharge uncertainties
25001,CC,1970-10-01,2022-09-30,99.96,1990-10-01 09:00:00,2022-10-01 08:00:00,99.84,NaN,420.00,03-Mar-1979 00:00:00,384.73,439.00,0.02,642.51,0.08,14.26,-13.92,14.01,-13.56,15.33,-15.00,8.40,-8.56,9.60,-8.78,16.62,-18.65,Calculated discharge uncertainties
25003,CC,1970-10-01,2022-09-30,78.19,1991-06-18 11:00:00,2022-10-01 08:00:00,96.61,NaN,41.30,26-Sep-2024 07:18:50,12.68,28.00,0.03,42.69,0.05,NaN,NaN,26.09,-25.37,11.60,-11.84,30.91,-30.14,14.38,-13.24,NaN,NaN,Calculated discharge uncertainties
25006,CC,1970-10-01,2022-09-30,99.97,1990-10-01 09:00:00,2022-10-01 08:00:00,99.70,98.00,95.00,13-Sep-1993 09:02:00,31.68,59.20,0.26,119.13,0.56,21.32,-20.08,16.63,-16.18,10.93,-11.08,19.33,-15.90,14.88,-13.72,11.97,-13.29,Calculated discharge uncertainties
25012,FVVA,1970-10-01,2022-09-30,99.99,1990-10-01 09:00:00,2022-10-01 08:00:00,99.61,NaN,17.50,26-Feb-2015 10:14:13,19.16,28.80,0.02,63.48,0.13,27.79,-24.69,22.29,-19.35,13.73,-14.07,14.80,-13.65,15.82,-14.72,NaN,NaN,Calculated discharge uncertainties
25020,VA,1972-11-08,2022-09-30,95.79,1990-10-01 09:00:00,2022-10-01 08:00:00,96.28,40.00,NaN,28-Dec-1978 00:00:00,23.48,23.30,0.00,23.25,0.00,30.99,-29.88,24.75,-23.82,17.68,-17.40,14.86,-14.66,14.89,-14.31,12.47,-12.64,Calculated discharge uncertainties
25021,VA,1973-06-01,2022-09-30,94.38,1990-10-01 09:00:00,2022-10-01 08:00:00,98.74,8.00,NaN,28-Dec-1978 09:00:00,11.28,16.30,0.02,13.03,0.01,33.18,-30.16,22.42,-21.10,18.93,-18.76,17.90,-17.86,52.14,-52.05,18.92,-19.13,Calculated discharge uncertainties
25029,US,2007-01-01,2022-09-30,30.15,2005-12-01 12:00:00,2022-10-01 08:00:00,52.27,NaN,NaN,15-Sep-2015 13:17:15,23.47,49.10,0.40,65.27,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No stage-discharge measurements available
26003,TP,1970-10-01,2022-09-30,98.87,1990-10-01 09:00:00,2022-10-01 08:00:00,99.06,NaN,6.40,08-Jan-2013 13:12:09,2.55,3.10,0.34,3.35,0.52,16.95,-15.68,16.67,-15.39,10.87,-10.88,12.00,-12.26,9.01,-8.86,NaN,NaN,Calculated discharge uncertainties
26005,FV,1981-01-29,2022-09-30,79.41,1990-10-01 09:00:00,2022-10-01 08:00:00,99.99,3.80,3.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.27,-58.44,24.55,-25.30,12.30,-12.47,10.34,-9.73,15.46,-15.27,Calculated discharge uncertainties
26006,TP,1980-03-22,2022-09-30,81.68,1990-10-01 09:00:00,2022-10-01 08:00:00,99.08,NaN,6.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.79,-47.30,14.90,-13.91,17.86,-16.92,10.78,-10.78,9.35,-9.12,Calculated discharge uncertainties
26008,C,1986-01-01,2022-09-30,70.67,1990-10-01 09:00:00,2022-10-01 08:00:00,99.63,NaN,6.30,NaN,NaN,NaN,NaN,NaN,NaN,24.97,-22.91,19.78,-17.86,14.97,-14.38,16.16,-15.53,13.79,-12.57,10.18,-9.43,Calculated discharge uncertainties
26009,EM,1988-10-07,2022-09-30,64.71,1990-10-01 09:00:00,2022-10-01 08:00:00,98.70,NaN,8.50,18-Jan-1994 11:10:00,8.56,8.60,0.01,8.68,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
27001,B,1970-10-01,2022-09-30,98.51,1990-10-01 09:00:00,2022-10-01 08:00:00,97.05,376.00,NaN,31-Oct-2000 14:01:00,221.80,235.00,0.01,253.81,0.00,20.27,-19.71,17.64,-17.52,12.54,-12.63,10.98,-11.01,9.64,-9.27,10.96,-11.07,Calculated discharge uncertainties
27002,B VA,1970-10-01,2022-09-30,80.37,1990-10-01 09:00:00,2022-10-01 08:00:00,99.44,600.00,460.00,09-Mar-1979 09:00:00,283.93,297.00,0.02,568.78,0.07,28.37,-28.36,17.64,-17.54,13.41,-13.45,14.86,-14.91,16.48,-16.34,8.62,-8.18,Calculated discharge uncertainties
27003,B VA,1970-10-01,2022-09-30,99.87,1993-06-28 12:00:00,2022-10-01 08:00:00,91.41,280.00,160.00,30-Oct-2000 14:00:00,314.44,324.00,0.02,325.43,0.10,41.26,-41.22,28.12,-28.16,25.21,-25.22,15.87,-15.86,16.36,-16.32,13.92,-13.92,Calculated discharge uncertainties
27006,B VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,99.91,350.00,350.00,25-Jun-2007 13:30:00,200.00,185.00,0.00,258.61,0.01,NaN,NaN,17.48,-17.86,20.27,-21.56,11.99,-11.75,9.21,-9.00,9.08,-8.83,Calculated discharge uncertainties
27007,B VA,1970-10-01,2022-09-30,96.58,1990-10-01 09:00:00,2022-10-01 08:00:00,99.77,250.00,NaN,26-Sep-2012 08:05:19,349.38,490.00,0.06,517.74,0.11,41.24,-40.21,16.13,-15.91,11.68,-11.40,8.56,-8.19,11.21,-11.16,9.49,-9.33,Calculated discharge uncertainties
27009,US,1970-10-01,2022-09-30,98.95,1990-10-01 09:00:00,2022-10-01 08:00:00,99.85,240.00,NaN,04-Nov-2000 12:04:00,512.86,608.00,0.04,590.43,0.03,49.08,-49.06,26.87,-26.90,16.44,-16.44,12.93,-12.92,10.15,-10.26,12.93,-12.87,Calculated discharge uncertainties
27021,USVA,1970-10-01,2022-09-30,96.74,1990-10-01 09:00:00,2022-10-01 08:00:00,99.82,347.00,NaN,26-Jun-2007 06:55:00,347.00,357.00,0.01,393.00,0.01,13.94,-13.75,12.34,-12.40,12.73,-12.68,8.86,-8.85,14.32,-14.30,16.16,-16.10,Calculated discharge uncertainties
27023,CB,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,99.79,NaN,27.00,15-Jun-2007 16:00:00,129.00,108.00,0.00,377.57,0.00,14.87,-13.85,13.45,-13.52,10.33,-10.45,11.66,-10.57,8.54,-8.41,8.94,-8.72,Calculated discharge uncertainties
27025,VA,1970-10-01,2022-09-30,95.03,1990-10-01 09:00:00,2022-10-01 08:00:00,99.97,250.00,NaN,07-Nov-2000 08:45:00,89.42,103.00,0.01,122.69,0.02,18.06,-17.11,23.07,-22.16,18.60,-19.23,12.24,-11.42,13.94,-13.73,8.77,-8.94,Calculated discharge uncertainties
27026,FVVA,1970-10-01,2022-09-30,98.99,1990-10-01 09:00:00,2022-10-01 08:00:00,99.91,180.00,NaN,25-Jun-2007 11:30:00,66.80,87.20,0.01,125.34,0.01,NaN,NaN,18.59,-19.18,15.80,-15.67,16.05,-15.92,10.76,-10.71,13.34,-13.65,Calculated discharge uncertainties
27029,C VA,1971-05-31,2022-09-30,97.53,1990-10-01 09:00:00,2022-10-01 08:00:00,99.96,NaN,NaN,18-Nov-2009 11:51:00,161.00,190.00,0.01,335.08,0.04,17.29,-16.10,12.65,-12.07,13.42,-14.60,11.18,-11.97,7.95,-8.10,12.70,-12.40,Calculated discharge uncertainties
27030,CCVA,1970-10-01,2022-09-30,99.05,1990-10-01 09:00:00,2022-10-01 08:00:00,99.85,45.00,NaN,26-Jun-2007 09:49:59,70.92,72.70,0.01,76.86,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
27032,MIS,1970-10-01,2022-09-30,99.24,1990-10-01 09:00:00,2022-10-01 08:00:00,97.99,NaN,6.00,16-Feb-2020 10:35:16,1.93,3.63,0.20,8.94,0.47,18.05,-17.93,27.06,-26.45,26.78,-25.73,23.86,-23.63,10.42,-9.74,NaN,NaN,Calculated discharge uncertainties
27034,VA,1970-10-01,2022-09-30,99.98,1990-10-01 09:00:00,2022-10-01 08:00:00,99.85,375.00,NaN,02-Nov-2020 12:54:27,356.70,333.00,0.00,379.96,0.01,24.17,-24.11,20.43,-20.55,11.35,-11.32,11.11,-11.02,11.96,-11.87,9.84,-10.08,Calculated discharge uncertainties
27035,VA,1970-10-01,2022-09-30,99.99,1990-10-01 09:00:00,2022-10-01 08:00:00,99.92,77.00,NaN,01-Feb-1995 10:15:00,95.54,137.00,0.03,156.68,0.04,19.45,-18.85,15.20,-15.10,11.58,-11.40,8.12,-8.31,15.52,-15.98,15.23,-15.08,Calculated discharge uncertainties
27038,C,1970-10-01,2022-09-30,99.21,1990-10-01 09:00:00,2022-10-01 08:00:00,99.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
27041,C US,1973-09-03,2022-09-30,94.38,1990-10-01 09:00:00,2022-10-01 08:00:00,99.69,NaN,74.80,28-Nov-2012 11:00:00,137.97,140.00,0.01,142.26,0.02,12.97,-12.70,14.81,-15.34,14.50,-14.44,14.38,-14.25,12.65,-13.11,9.07,-9.94,Calculated discharge uncertainties
27042,FV,1972-01-17,2022-09-30,97.51,1990-10-01 09:00:00,2022-10-01 08:00:00,99.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.25,-25.37,14.94,-14.59,14.02,-13.78,20.09,-19.85,36.09,-35.63,NaN,NaN,Calculated discharge uncertainties
27043,C VA,1973-12-18,2022-09-30,93.31,1990-10-01 09:00:00,2022-10-01 08:00:00,99.33,500.00,NaN,15-Nov-2015 13:27:00,328.89,287.00,0.00,423.92,0.03,21.81,-21.12,13.84,-14.05,12.09,-11.82,10.32,-10.14,12.75,-12.57,12.03,-11.74,Calculated discharge uncertainties
27047,FV,1970-10-01,2022-09-30,98.43,1990-10-01 09:00:00,2022-10-01 08:00:00,99.78,NaN,7.00,NaN,NaN,NaN,NaN,NaN,NaN,25.92,-24.51,40.83,-41.59,17.31,-17.44,22.36,-21.97,11.35,-11.96,NaN,NaN,Calculated discharge uncertainties
27049,FV,1974-08-07,2022-09-30,92.53,1990-10-01 09:00:00,2022-10-01 08:00:00,99.22,NaN,NaN,20-Jun-2005 09:50:00,56.80,58.00,0.01,74.99,0.03,23.60,-23.54,16.15,-15.93,21.89,-22.25,20.87,-20.89,14.78,-14.44,10.67,-10.14,Calculated discharge uncertainties
27051,FV,1972-01-21,2022-09-30,97.27,1990-10-01 09:00:00,2022-10-01 08:00:00,99.56,NaN,5.00,21-Jan-2008 14:39:59,5.97,3.63,0.00,9.27,0.01,37.02,-36.10,37.02,-36.10,27.51,-25.35,28.35,-27.78,22.39,-21.73,11.39,-10.46,Calculated discharge uncertainties
27062,US,1979-05-01,2022-09-30,77.03,1990-10-01 09:00:00,2022-10-01 08:00:00,91.56,NaN,NaN,26-Sep-2012 12:52:54,160.22,183.20,0.03,245.98,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
27064,FV,1979-10-19,2022-09-30,82.54,1990-10-01 09:00:00,2022-10-01 08:00:00,99.68,NaN,11.30,NaN,NaN,NaN,NaN,NaN,NaN,20.57,-20.21,18.78,-18.63,16.83,-16.26,14.39,-13.33,34.87,-33.74,37.22,-38.03,Calculated discharge uncertainties
27065,US,1979-11-16,2022-09-30,82.40,1990-10-01 09:00:00,2022-10-01 08:00:00,99.94,NaN,6.50,20-Jan-2021 15:52:10,56.41,73.50,0.01,133.61,0.03,17.68,-17.48,13.65,-12.97,9.58,-9.89,10.15,-10.08,11.31,-10.80,9.96,-15.21,Calculated discharge uncertainties
27071,C VA,1970-10-01,2022-09-30,99.67,1990-10-01 09:00:00,2022-10-01 08:00:00,99.76,NaN,NaN,04-Jan-1982 09:00:00,228.43,228.40,0.00,238.63,0.01,23.16,-22.20,14.64,-14.67,10.76,-10.62,12.58,-12.21,17.35,-17.07,11.45,-11.89,Calculated discharge uncertainties
27073,C,1981-02-13,2022-09-30,79.93,1990-10-01 09:00:00,2022-10-01 08:00:00,99.53,NaN,3.00,07-Jan-2016 12:43:03,1.15,1.47,0.18,1.47,0.26,41.65,-39.38,34.19,-30.34,22.34,-23.86,22.18,-22.33,NaN,NaN,NaN,NaN,Calculated discharge uncertainties
27077,FV,1983-09-19,2022-09-30,75.06,1990-10-01 09:00:00,2022-10-01 08:00:00,99.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.33,-17.97,15.24,-15.44,12.06,-12.05,11.82,-12.10,10.30,-10.71,NaN,NaN,Calculated discharge uncertainties
27079,IV,1988-06-07,2022-09-30,63.83,1990-10-01 09:00:00,2022-10-01 08:00:00,99.90,288.00,NaN,10-Feb-2020 08:26:45,263.89,306.10,0.04,373.18,0.08,NaN,NaN,35.46,-34.22,27.35,-25.71,22.49,-23.14,14.43,-14.02,21.08,-21.27,Calculated discharge uncertainties
27080,C,1985-09-06,2022-09-30,71.28,1995-08-11 14:00:00,2022-10-01 08:00:00,84.81,NaN,NaN,31-Oct-2000 11:21:00,185.94,228.00,0.07,265.54,0.08,19.04,-18.92,14.41,-14.43,9.06,-9.17,11.45,-11.40,9.41,-9.57,9.15,-8.64,Calculated discharge uncertainties
27084,FV,1988-02-25,2022-09-30,66.54,1990-10-01 09:00:00,2022-10-01 08:00:00,98.59,NaN,55.50,17-Nov-2022 14:05:16,17.63,37.40,0.04,53.71,0.18,49.49,-48.48,23.07,-22.33,12.07,-12.21,11.23,-11.47,9.65,-9.62,NaN,NaN,Calculated discharge uncertainties
27087,US,1989-07-07,2022-09-30,63.14,1990-10-01 09:00:00,2022-10-01 00:00:00,98.50,NaN,26.00,09-Mar-1999 12:55:00,29.80,27.50,0.00,28.40,0.00,43.75,-43.50,34.69,-34.32,36.89,-38.31,39.12,-39.15,34.92,-34.67,53.86,-53.63,Calculated discharge uncertainties
27089,US,1991-06-27,2022-09-30,59.94,1991-06-27 12:00:00,2022-10-01 08:00:00,97.69,NaN,NaN,01-Feb-1995 12:10:00,359.62,374.00,0.01,479.65,0.01,39.47,-39.57,19.03,-19.66,15.10,-15.06,9.59,-9.52,15.51,-15.53,13.73,-13.55,Calculated discharge uncertainties
27090,USVA,1992-12-17,2022-09-30,57.28,1992-12-17 13:00:00,2022-10-01 08:00:00,92.73,450.00,NaN,14-May-1993 09:35:00,220.94,301.00,0.04,499.11,0.16,38.63,-37.96,26.93,-24.59,17.02,-16.42,13.24,-13.68,14.29,-14.45,17.21,-16.57,Calculated discharge uncertainties
28001,FL,1970-10-01,2022-09-30,99.99,1990-10-01 09:00:00,2022-10-01 08:00:00,99.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.19,-13.05,13.68,-13.40,13.47,-13.94,13.72,-13.87,8.66,-8.07,9.80,-9.81,Calculated discharge uncertainties
28003,C,1970-10-01,2022-09-30,79.48,1993-02-01 00:00:00,2022-10-01 08:00:00,90.28,100.00,NaN,20-Jul-2007 22:37:00,100.06,84.88,0.00,127.25,0.02,14.77,-14.88,17.34,-16.66,11.62,-11.67,12.47,-12.39,12.60,-12.56,11.63,-11.84,Calculated discharge uncertainties
28008,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,96.65,NaN,50.00,06-Sep-2008 14:14:00,100.60,101.00,0.01,135.00,0.03,16.96,-17.28,16.87,-16.91,13.11,-13.20,12.77,-12.24,9.71,-9.71,13.01,-13.01,Calculated discharge uncertainties
28009,VA,1970-10-01,2022-09-30,100.00,2003-09-21 09:00:00,2022-10-01 08:00:00,59.46,550.00,NaN,08-Nov-2000 07:15:00,986.25,982.00,0.00,725.53,0.00,12.87,-13.26,12.79,-12.65,12.99,-14.43,9.86,-9.44,8.58,-8.31,7.46,-7.48,Calculated discharge uncertainties
28012,US,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,95.17,165.00,NaN,07-Nov-2000 13:20:00,176.45,173.60,0.00,128.25,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
28015,IV,1982-11-01,2022-09-30,76.34,1990-10-01 09:00:00,2022-10-01 08:00:00,99.82,15.00,NaN,08-Nov-2000 14:15:00,22.09,19.20,0.00,20.10,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
28018,FVVA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,95.79,130.00,NaN,21-Jan-2021 15:44:00,189.78,168.00,0.00,187.00,0.00,15.45,-15.39,14.84,-14.83,12.14,-11.90,9.25,-9.28,10.13,-9.99,9.24,-9.52,Calculated discharge uncertainties
28022,USVA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,NaN,NaN,09-Nov-2000 09:12:00,935.35,924.00,0.00,973.46,0.01,15.53,-15.19,11.23,-10.92,9.74,-9.81,8.92,-8.98,9.11,-8.63,8.49,-8.48,Calculated discharge uncertainties
28023,FV,1970-10-01,2022-09-30,67.16,1990-10-01 09:00:00,2022-10-01 08:00:00,96.14,32.00,NaN,27-Oct-1998 15:00:00,43.76,30.67,0.00,43.92,0.00,14.00,-13.86,13.28,-13.30,11.38,-11.45,11.06,-11.06,9.77,-9.73,11.19,-10.54,Calculated discharge uncertainties
28024,US,1970-10-01,2022-09-30,97.70,1990-10-01 09:00:00,2022-10-01 08:00:00,79.88,4.80,35.00,06-Nov-2000 12:00:00,67.21,77.96,0.01,42.48,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
28026,C VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,97.83,47.00,38.00,06-Nov-2000 20:21:00,73.52,82.00,0.01,117.04,0.01,21.23,-20.46,18.15,-18.95,20.78,-20.51,9.59,-9.33,15.18,-15.97,19.90,-19.76,Calculated discharge uncertainties
28031,C,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,98.41,NaN,100.00,15-Jan-2008 14:55:00,47.37,91.00,0.02,168.75,0.18,18.80,-17.99,14.95,-15.27,12.94,-12.02,14.30,-14.39,9.98,-10.26,9.54,-9.16,Calculated discharge uncertainties
28033,CC,1970-10-01,2022-09-30,79.65,2003-09-21 09:00:00,2022-10-01 08:00:00,59.46,NaN,17.00,30-Nov-2015 14:27:53,5.11,3.96,0.00,9.06,0.02,25.71,-24.31,34.64,-34.29,21.19,-21.16,14.09,-13.57,14.58,-12.90,17.38,-14.94,Calculated discharge uncertainties
28039,C B,1970-10-01,2022-09-30,99.87,1990-10-01 09:00:00,2022-10-01 08:00:00,99.96,128.00,4.00,23-Aug-1987 10:15:00,39.40,35.25,0.00,77.86,0.02,19.77,-18.96,21.30,-19.30,13.37,-13.46,16.45,-15.80,16.69,-16.84,14.72,-14.84,Calculated discharge uncertainties
28040,C,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,NaN,45.00,23-Aug-1987 00:02:00,30.97,29.70,0.00,29.30,0.00,25.28,-23.71,23.84,-23.34,17.98,-17.65,17.61,-17.32,10.59,-10.54,14.57,-14.40,Calculated discharge uncertainties
28043,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,208.00,NaN,06-Nov-2000 10:10:00,193.71,157.10,0.00,229.17,0.01,17.54,-17.06,15.97,-16.17,15.64,-15.42,8.34,-8.43,15.84,-15.92,9.84,-9.96,Calculated discharge uncertainties
28044,IV,1970-10-01,2022-09-30,89.06,1990-10-01 09:00:00,2022-10-01 08:00:00,99.97,NaN,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.16,-13.26,11.20,-11.71,13.88,-11.77,9.44,-9.18,NaN,NaN,Calculated discharge uncertainties
28046,FV,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,95.77,NaN,47.00,15-Mar-1988 00:03:00,13.53,26.32,0.05,40.15,0.13,18.48,-17.96,12.92,-12.33,12.62,-14.41,12.31,-11.99,17.88,-17.61,12.44,-12.21,Calculated discharge uncertainties
28048,FVVA,1971-01-13,2022-09-30,99.45,1990-10-01 09:00:00,2022-10-01 08:00:00,99.97,21.00,1.20,21-Jan-2021 10:42:00,18.74,46.70,0.29,58.62,0.40,15.58,-15.35,18.21,-16.54,11.31,-11.05,10.69,-10.75,12.08,-11.10,14.97,-14.91,Calculated discharge uncertainties
28050,XC,1971-06-01,2022-09-30,98.24,1990-10-01 09:00:00,2022-10-01 08:00:00,64.78,76.00,2.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
28052,FVVA,1971-01-18,2022-09-30,98.50,1990-10-01 09:00:00,2022-10-01 08:00:00,98.42,10.00,2.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
28055,FV,1971-11-01,2022-09-30,82.80,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,32.00,0.70,21-Nov-2012 14:43:00,11.04,15.90,0.06,36.20,0.12,20.18,-19.78,17.48,-17.70,14.07,-14.28,16.37,-16.39,11.71,-11.69,9.23,-9.17,Calculated discharge uncertainties
28056,FVVA,1973-05-10,2022-09-30,94.99,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,23.00,2.50,28-Oct-1998 13:15:00,14.52,15.50,0.01,20.10,0.03,30.63,-29.85,20.72,-20.46,16.19,-16.07,12.55,-12.52,12.61,-11.71,18.08,-18.65,Calculated discharge uncertainties
